,Usia,Gender,Gaji,Jumlah-Anak
0,57,L,1-3jt,2
1,39,L,1-3jt,3
2,32,L,1-3jt,0
3,28,P,3-5jt,2
4,35,P,5-10jt,0
5,19,L,1-3jt,4
6,17,L,3-5jt,6
7,46,L,3-5jt,6
8,29,L,5-10jt,6
9,50,P,1-3jt,1
10,28,P,3-5jt,4
11,17,P,1-3jt,5
12,49,L,5-10jt,4
13,19,P,5-10jt,4
14,44,P,5-10jt,3
15,25,L,5-10jt,2
16,48,P,1-3jt,5
17,20,P,3-5jt,0
18,54,P,3-5jt,3
19,49,L,3-5jt,6
20,45,L,3-5jt,5
21,55,L,5-10jt,6
22,54,L,3-5jt,0
23,19,P,1-3jt,2
24,45,L,3-5jt,1
25,50,P,5-10jt,6
26,31,L,1-3jt,0
27,51,L,3-5jt,1
28,34,L,1-3jt,6
29,29,L,3-5jt,5
30,20,P,5-10jt,0
31,54,L,3-5jt,3
32,48,P,1-3jt,6
33,33,P,3-5jt,6
34,41,P,3-5jt,5
35,23,L,5-10jt,5
36,23,P,1-3jt,5
37,29,P,3-5jt,6
38,33,P,5-10jt,5
39,59,L,1-3jt,6
40,44,P,1-3jt,4
41,43,L,5-10jt,6
42,40,P,5-10jt,0
43,25,L,1-3jt,5
44,56,P,3-5jt,5
45,20,P,5-10jt,5
46,19,P,5-10jt,3
47,35,L,1-3jt,0
48,55,P,3-5jt,3
49,45,L,5-10jt,1
50,36,L,5-10jt,2
51,28,P,5-10jt,0
52,26,P,1-3jt,1
53,40,P,5-10jt,5
54,56,L,5-10jt,4
55,21,P,5-10jt,3
56,31,L,1-3jt,6
57,57,L,3-5jt,1
58,54,P,1-3jt,4
59,28,P,1-3jt,2
60,25,P,3-5jt,4
61,20,L,3-5jt,6
62,54,L,5-10jt,4
63,51,P,3-5jt,3
64,55,P,3-5jt,2
65,42,L,1-3jt,6
66,43,P,1-3jt,1
67,49,L,3-5jt,3
68,30,P,5-10jt,4
69,36,P,1-3jt,4
70,21,L,1-3jt,2
71,34,L,1-3jt,0
72,55,L,1-3jt,4
73,42,P,5-10jt,0
74,60,L,1-3jt,1
75,29,L,1-3jt,1
76,17,P,3-5jt,4
77,55,L,1-3jt,3
78,56,L,3-5jt,3
79,45,P,1-3jt,5
80,40,P,1-3jt,4
81,18,L,3-5jt,4
82,37,P,3-5jt,1
83,21,P,1-3jt,3
84,59,P,1-3jt,0
85,54,P,3-5jt,2
86,34,P,5-10jt,2
87,52,L,1-3jt,5
88,28,P,1-3jt,3
89,44,P,5-10jt,4
90,41,L,1-3jt,6
91,44,P,5-10jt,5
92,46,P,5-10jt,2
93,37,L,3-5jt,6
94,24,L,3-5jt,0
95,25,L,1-3jt,3
96,31,P,3-5jt,3
97,31,P,1-3jt,5
98,26,P,3-5jt,2
99,21,P,5-10jt,2
100,55,P,3-5jt,6
101,60,P,3-5jt,5
102,34,L,1-3jt,4
103,58,L,3-5jt,4
104,18,L,1-3jt,0
105,50,L,3-5jt,4
106,42,P,3-5jt,5
107,29,P,5-10jt,5
108,33,L,5-10jt,6
109,36,L,5-10jt,4
110,20,L,1-3jt,4
111,17,L,3-5jt,5
112,58,L,1-3jt,2
113,49,P,1-3jt,2
114,54,P,5-10jt,3
115,35,L,5-10jt,6
116,54,L,5-10jt,1
117,47,P,5-10jt,1
118,44,L,5-10jt,0
119,30,L,5-10jt,6
120,20,L,5-10jt,1
121,45,L,5-10jt,4
122,24,L,1-3jt,5
123,45,P,1-3jt,0
124,22,L,3-5jt,5
125,31,L,1-3jt,4
126,20,P,5-10jt,1
127,35,P,1-3jt,6
128,21,L,1-3jt,6
129,58,L,3-5jt,1
130,51,P,5-10jt,1
131,35,L,3-5jt,0
132,24,P,5-10jt,3
133,49,P,3-5jt,5
134,35,L,3-5jt,5
135,31,L,5-10jt,3
136,22,L,5-10jt,6
137,18,P,3-5jt,3
138,20,P,5-10jt,1
139,22,P,1-3jt,0
140,35,P,3-5jt,6
141,36,L,5-10jt,3
142,29,P,3-5jt,4
143,31,L,3-5jt,2
144,30,L,1-3jt,0
145,59,L,3-5jt,6
146,30,L,3-5jt,2
147,35,P,5-10jt,5
148,57,L,5-10jt,1
149,39,L,1-3jt,5
150,45,P,5-10jt,5
151,49,L,3-5jt,1
152,37,P,1-3jt,6
153,49,P,5-10jt,5
154,53,P,5-10jt,6
155,38,L,3-5jt,4
156,28,P,1-3jt,4
157,18,P,3-5jt,2
158,29,P,3-5jt,4
159,17,L,3-5jt,0
160,34,L,1-3jt,2
161,36,P,1-3jt,1
162,30,P,5-10jt,0
163,38,P,3-5jt,4
164,41,L,1-3jt,3
165,51,L,1-3jt,5
166,40,P,3-5jt,4
167,23,P,3-5jt,6
168,23,P,1-3jt,0
169,52,P,1-3jt,4
170,46,P,3-5jt,5
171,24,P,3-5jt,6
172,60,P,5-10jt,3
173,46,L,1-3jt,3
174,53,P,5-10jt,6
175,28,P,1-3jt,1
176,19,L,1-3jt,5
177,55,L,3-5jt,2
178,27,L,5-10jt,1
179,20,L,5-10jt,3
180,41,L,3-5jt,0
181,48,L,5-10jt,1
182,25,P,3-5jt,4
183,26,L,1-3jt,0
184,49,P,3-5jt,1
185,52,P,3-5jt,4
186,48,P,3-5jt,4
187,26,P,1-3jt,1
188,17,L,5-10jt,6
189,25,P,1-3jt,1
190,36,L,5-10jt,5
191,30,P,3-5jt,1
192,43,L,3-5jt,1
193,26,L,3-5jt,1
194,25,P,1-3jt,0
195,56,P,5-10jt,3
196,59,L,3-5jt,2
197,23,P,5-10jt,5
198,42,L,3-5jt,6
199,26,L,5-10jt,3
200,49,L,1-3jt,4
201,18,L,3-5jt,6
202,53,P,1-3jt,5
203,53,P,1-3jt,4
204,57,L,5-10jt,5
205,60,L,5-10jt,0
206,44,L,1-3jt,3
207,24,L,1-3jt,3
208,38,P,1-3jt,4
209,50,L,5-10jt,2
210,36,L,1-3jt,6
211,28,P,1-3jt,1
212,49,L,3-5jt,0
213,59,P,5-10jt,4
214,55,L,3-5jt,1
215,24,L,1-3jt,0
216,53,L,3-5jt,2
217,35,L,3-5jt,1
218,41,P,1-3jt,6
219,38,P,1-3jt,4
220,20,P,3-5jt,2
221,20,L,3-5jt,4
222,34,P,5-10jt,5
223,21,L,5-10jt,1
224,54,L,3-5jt,6
225,26,L,1-3jt,5
226,49,L,3-5jt,3
227,17,P,1-3jt,6
228,41,L,3-5jt,2
229,28,L,5-10jt,4
230,30,P,5-10jt,4
231,44,P,5-10jt,0
232,18,L,1-3jt,1
233,27,P,1-3jt,0
234,51,L,5-10jt,2
235,22,L,5-10jt,2
236,29,P,3-5jt,3
237,59,L,3-5jt,3
238,46,L,5-10jt,4
239,56,L,5-10jt,4
240,31,P,5-10jt,0
241,28,L,1-3jt,4
242,51,P,3-5jt,6
243,59,L,3-5jt,1
244,21,P,3-5jt,0
245,27,L,5-10jt,6
246,40,P,1-3jt,5
247,22,P,5-10jt,4
248,49,P,5-10jt,4
249,48,P,1-3jt,2
250,53,P,5-10jt,5
251,48,L,1-3jt,5
252,49,L,3-5jt,0
253,54,P,3-5jt,1
254,56,P,5-10jt,0
255,35,P,3-5jt,2
256,43,P,3-5jt,6
257,23,P,5-10jt,0
258,37,P,1-3jt,1
259,59,P,5-10jt,0
260,33,P,3-5jt,4
261,46,P,3-5jt,2
262,48,P,3-5jt,0
263,35,P,3-5jt,0
264,38,L,5-10jt,1
265,54,L,1-3jt,5
266,55,P,1-3jt,1
267,54,P,5-10jt,1
268,45,L,1-3jt,1
269,24,L,5-10jt,1
270,28,L,1-3jt,3
271,60,P,5-10jt,2
272,25,P,1-3jt,5
273,47,L,5-10jt,3
274,56,P,5-10jt,2
275,20,P,5-10jt,4
276,53,P,3-5jt,5
277,36,L,3-5jt,4
278,24,P,5-10jt,5
279,44,L,3-5jt,0
280,56,L,5-10jt,2
281,59,L,5-10jt,4
282,49,L,1-3jt,0
283,50,L,3-5jt,5
284,58,L,1-3jt,4
285,45,L,1-3jt,6
286,52,L,1-3jt,0
287,58,P,5-10jt,5
288,57,L,3-5jt,3
289,39,P,3-5jt,6
290,48,P,5-10jt,0
291,36,L,5-10jt,0
292,40,P,1-3jt,4
293,33,P,3-5jt,5
294,29,L,3-5jt,4
295,34,L,1-3jt,4
296,44,P,5-10jt,6
297,46,L,5-10jt,1
298,24,L,5-10jt,1
299,45,L,3-5jt,3
300,22,L,3-5jt,3
301,24,P,5-10jt,0
302,48,L,5-10jt,5
303,36,P,1-3jt,2
304,33,L,3-5jt,1
305,31,P,5-10jt,3
306,19,P,3-5jt,1
307,40,P,5-10jt,0
308,25,L,3-5jt,1
309,49,L,3-5jt,1
310,25,L,1-3jt,4
311,51,P,5-10jt,4
312,55,L,3-5jt,1
313,34,L,1-3jt,3
314,39,P,5-10jt,5
315,34,L,1-3jt,4
316,52,P,3-5jt,0
317,17,P,5-10jt,3
318,25,P,1-3jt,4
319,39,L,1-3jt,6
320,28,L,3-5jt,4
321,33,P,1-3jt,2
322,60,P,1-3jt,5
323,27,P,3-5jt,0
324,54,L,1-3jt,1
325,23,L,5-10jt,4
326,29,P,5-10jt,3
327,45,P,5-10jt,4
328,45,L,3-5jt,5
329,27,P,3-5jt,0
330,50,P,3-5jt,0
331,48,L,3-5jt,0
332,46,L,5-10jt,6
333,51,P,3-5jt,4
334,53,P,5-10jt,6
335,59,L,5-10jt,6
336,39,P,3-5jt,3
337,45,P,5-10jt,5
338,28,P,1-3jt,3
339,60,P,5-10jt,4
340,46,L,5-10jt,1
341,48,L,5-10jt,1
342,59,P,1-3jt,3
343,22,P,3-5jt,5
344,56,P,3-5jt,3
345,25,P,1-3jt,0
346,22,L,1-3jt,5
347,33,L,5-10jt,0
348,50,L,1-3jt,6
349,38,L,5-10jt,0
350,29,P,3-5jt,0
351,55,P,1-3jt,3
352,40,P,5-10jt,4
