,Usia,Gender,Gaji,Jumlah-Anak
0,45,L,5-10jt,3
1,51,L,3-5jt,3
2,23,L,1-3jt,4
3,37,L,1-3jt,2
4,56,L,3-5jt,3
5,40,L,5-10jt,5
6,35,P,5-10jt,5
7,35,L,5-10jt,5
8,33,P,1-3jt,0
9,23,P,5-10jt,4
10,47,P,3-5jt,1
11,21,L,5-10jt,3
12,59,L,1-3jt,3
13,36,L,3-5jt,0
14,28,P,3-5jt,6
15,17,P,3-5jt,0
16,46,P,3-5jt,5
17,35,L,1-3jt,1
18,50,L,3-5jt,3
19,21,L,3-5jt,5
20,45,L,5-10jt,1
21,19,P,3-5jt,3
22,54,L,5-10jt,1
23,60,L,3-5jt,0
24,22,P,1-3jt,0
25,35,L,3-5jt,2
26,59,L,3-5jt,0
27,58,L,3-5jt,3
28,60,L,3-5jt,2
29,58,L,1-3jt,2
30,48,P,1-3jt,4
31,55,P,5-10jt,1
32,35,P,1-3jt,5
33,41,P,5-10jt,6
34,18,L,3-5jt,3
35,45,P,1-3jt,2
36,24,L,1-3jt,5
37,58,P,1-3jt,1
38,50,P,1-3jt,3
39,40,L,1-3jt,0
40,34,L,1-3jt,1
41,56,P,5-10jt,4
42,59,L,5-10jt,1
43,58,P,5-10jt,1
44,35,P,5-10jt,1
45,52,L,3-5jt,6
46,38,L,3-5jt,6
47,47,P,1-3jt,2
48,47,P,5-10jt,6
49,59,L,3-5jt,2
50,28,L,3-5jt,4
51,26,L,3-5jt,3
52,27,P,1-3jt,2
53,42,L,3-5jt,0
54,56,P,1-3jt,0
55,50,L,5-10jt,0
56,53,L,3-5jt,1
57,35,P,1-3jt,2
58,47,P,3-5jt,5
59,37,L,3-5jt,3
60,48,L,5-10jt,4
61,57,L,5-10jt,0
62,23,L,1-3jt,2
63,52,P,3-5jt,4
64,35,L,3-5jt,4
65,50,P,1-3jt,3
66,57,P,1-3jt,4
67,17,L,3-5jt,3
68,49,L,1-3jt,5
69,58,P,5-10jt,4
70,35,P,5-10jt,3
71,37,P,5-10jt,5
72,37,P,5-10jt,3
73,42,P,5-10jt,5
74,28,P,5-10jt,1
75,57,P,3-5jt,6
76,56,L,1-3jt,3
77,26,P,5-10jt,5
78,40,L,5-10jt,1
79,48,L,3-5jt,6
80,23,L,5-10jt,0
81,58,L,1-3jt,0
82,24,L,3-5jt,3
83,48,P,5-10jt,1
84,38,L,3-5jt,2
85,32,L,1-3jt,5
86,22,L,1-3jt,1
87,20,P,5-10jt,6
88,25,P,3-5jt,2
89,45,P,3-5jt,1
90,47,P,3-5jt,1
91,18,L,1-3jt,1
92,24,L,1-3jt,2
93,53,L,5-10jt,3
94,45,P,3-5jt,5
95,32,P,5-10jt,1
96,19,P,3-5jt,3
97,39,L,3-5jt,3
98,22,P,3-5jt,0
99,42,P,5-10jt,5
100,53,P,3-5jt,2
101,53,P,3-5jt,3
102,53,L,3-5jt,1
103,24,P,3-5jt,6
104,50,L,3-5jt,4
105,48,P,3-5jt,4
106,18,L,5-10jt,4
107,20,P,1-3jt,2
108,18,P,3-5jt,1
109,51,L,1-3jt,1
110,59,L,5-10jt,5
111,40,L,3-5jt,2
112,17,L,1-3jt,3
113,28,P,1-3jt,4
114,23,P,1-3jt,3
115,54,P,3-5jt,5
116,44,L,1-3jt,1
117,54,P,5-10jt,5
118,56,L,5-10jt,4
119,22,L,1-3jt,2
120,32,L,5-10jt,5
121,36,L,5-10jt,6
122,43,L,3-5jt,3
123,45,P,5-10jt,5
124,55,P,3-5jt,5
125,30,L,1-3jt,4
126,24,P,5-10jt,2
127,51,L,1-3jt,3
128,25,L,1-3jt,0
129,26,P,1-3jt,2
130,45,L,1-3jt,3
131,58,L,5-10jt,2
132,33,P,1-3jt,6
133,31,L,1-3jt,1
134,19,P,3-5jt,4
135,55,P,3-5jt,6
136,40,L,1-3jt,5
137,21,P,3-5jt,6
138,56,L,3-5jt,3
139,26,L,3-5jt,0
140,22,P,3-5jt,5
141,38,P,5-10jt,2
142,44,P,1-3jt,5
143,60,P,5-10jt,2
144,40,P,5-10jt,0
145,41,L,3-5jt,2
